Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,20.19,23.07,19.47,23.58,25.43,25.08,24.72,25.34,22.18,22.69,24.2
Gross Margin,79.81,76.93,80.53,76.42,74.57,74.92,75.28,74.66,77.82,77.31,75.8
SG&A,75.13,62.95,68.28,53.6,51.93,61.16,51.51,55.03,53.16,57.09,55.93
R&D,,,,,,,,,,,
Other,3.51,3.52,3.86,11.43,11.19,11.28,11.08,11.1,11.51,11.24,11.11
Operating Margin,1.16,10.45,8.39,11.39,11.45,2.48,12.69,8.53,13.14,8.98,8.76
Net Int Inc & Other,-0.3,-0.71,-0.96,-0.71,-0.57,-0.68,-0.65,-0.57,-0.56,-0.54,-0.57
EBT Margin,0.87,9.74,7.43,10.68,10.88,1.8,12.04,7.96,12.58,8.43,8.2
