Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,21.12,20.84,21.89,
Net Margin %,,,,,,,,2.39,5.62,5.21,-5.82
Asset Turnover (Average),,,,,,,,2.31,1.89,1.71,1.63
Return on Assets %,,,,,,,,5.54,10.64,8.89,-9.5
Financial Leverage (Average),,,,,,,,3.61,1.62,1.64,1.73
Return on Equity %,,,,,,,,19.96,21.42,14.53,-15.15
Return on Invested Capital %,,,,,,,,16.53,22.0,14.53,-14.11
Interest Coverage,,,,,,,,,,177.86,-249.62
