Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.19,-1.79,-8.22,-1.49,3.03,-13.73,-88.07,,-40.86,60.61,27.94
3-Year Average,11.47,1.57,-1.45,-3.89,-2.34,-4.33,-52.66,11.0,-2.13,132.81,
5-Year Average,10.89,15.62,4.54,-1.08,-0.58,-4.62,-37.43,6.78,-3.58,5.37,
10-Year Average,6.13,,,,9.81,2.84,-14.95,5.65,-2.34,2.35,
