Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income CAD Mil,,,,,,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,,,,,,-0.0,-1.0,-3.0,-1.0,-0.0,-0.0
Earnings Per Share CAD,,,,,,-0.08,-0.03,-0.11,-0.03,-0.01,-0.01
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,4.0,21.0,25.0,25.0,27.0,37.0
Book Value Per Share * CAD,,,,,,,,,,0.01,0.03
Operating Cash Flow CAD Mil,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Cap Spending CAD Mil,,,,,,,-2.0,-1.0,-0.0,-0.0,-1.0
Free Cash Flow CAD Mil,,,,,,-0.0,-2.0,-2.0,-0.0,-0.0,-1.0
Free Cash Flow Per Share * CAD,,,,,,,,,,,
Working Capital CAD Mil,,,,,,1.0,2.0,0.0,0.0,1.0,
