Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,499.0,-480.0,,896.0,896.0,,,,245.0,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,124.32,57.33,53.8,88.46,112.97,69.16,28.19,45.37,42.53,38.95,40.75
Free Cash Flow/Sales %,-83.59,-17.32,-12.8,-44.71,-60.63,-9.29,8.2,5.27,6.89,6.87,10.56
Free Cash Flow/Net Income,-1.64,-0.8,-0.58,-2.64,-1.03,-0.19,0.11,0.22,0.22,0.04,0.34
