Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,15.45,,55.88,35.18,,34.13,36.91
Net Margin %,-468.76,-32.29,-58.54,-1.37,7.69,-6.55,4.99,17.23,19.66,28.44,26.23
Asset Turnover (Average),0.01,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04
Return on Assets %,-2.61,-0.97,-2.71,-0.06,0.33,-0.24,0.18,0.64,0.59,1.17,1.07
Financial Leverage (Average),20.09,18.73,12.63,11.44,9.73,9.66,9.53,8.47,7.83,8.34,9.65
Return on Equity %,-41.04,-18.88,-40.93,-0.73,3.49,-2.29,1.76,5.73,4.8,9.45,9.64
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
