Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,15.5,8.31,9.14,20.81,1.12,11.06,-2.79,3.48,-9.51,-4.16,-40.82
3-Year Average,9.1,8.15,10.94,12.61,10.06,10.71,2.97,3.77,-3.08,-3.54,
5-Year Average,11.58,10.37,8.95,10.77,10.77,9.91,7.56,6.42,0.44,-0.63,
10-Year Average,14.91,13.1,11.92,12.31,11.74,10.74,8.95,7.68,5.48,4.92,
