Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.1,7.72,-26.3,0.24,7.13,8.53,-1.09,14.66,-3.28,2.72,7.17
3-Year Average,8.89,12.36,-2.96,-7.33,-7.5,5.24,4.77,7.17,3.13,4.44,
5-Year Average,4.41,7.64,0.5,0.94,-0.38,-1.54,-3.21,5.74,4.98,4.11,
10-Year Average,2.29,3.94,-0.97,-2.16,-0.88,1.39,2.07,3.08,2.94,1.84,
