Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,,,27.0,23.0,2.0,1.0,1.0
Gross Margin %,,,,,,,12.9,14.5,-67.9,23.7,23.7
Operating Income AUD Mil,,,,,,,-6.0,-4.0,3.0,-4.0,-4.0
Operating Margin %,,,,,,,-21.0,-17.2,124.7,-502.2,-502.2
Net Income AUD Mil,,,,,,,-6.0,-4.0,3.0,-3.0,-3.0
Earnings Per Share AUD,,,,,,,-0.12,-0.07,0.04,-0.03,-0.03
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,49.0,63.0,82.0,86.0,86.0
Book Value Per Share * AUD,,,,,,,0.1,,,0.03,0.04
Operating Cash Flow AUD Mil,,,,,,,-8.0,-2.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,,,,,,,-1.0,-3.0,-0.0,-1.0,-1.0
Free Cash Flow AUD Mil,,,,,,,-9.0,-5.0,-2.0,-2.0,-2.0
Free Cash Flow Per Share * AUD,,,,,,,-0.18,-0.18,,-0.03,
Working Capital AUD Mil,,,,,,,-0.0,-5.0,-7.0,-4.0,
