Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,4.03,-72.06,362.65,68.11,-10.06,-16.53,26.16,-12.17,-59.1,122.27,
3-Year Average,11.12,-31.26,10.38,29.53,91.25,8.07,-1.8,-2.57,-23.19,-7.23,
5-Year Average,32.28,-10.66,12.14,20.36,15.25,10.28,49.09,6.94,-19.4,-3.41,
10-Year Average,30.9,9.29,18.43,24.56,69.83,20.78,15.41,9.51,-1.5,5.51,
