Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,0.0,,0.0,,,0.0,23.0,102.0,109.0,117.0,117.0
Gross Margin %,94.0,,,,,,32.2,26.6,40.1,51.4,51.4
Operating Income AUD Mil,-2.0,-2.0,-2.0,-2.0,-4.0,-5.0,-14.0,-9.0,6.0,-34.0,-34.0
Operating Margin %,,,,,,,-61.9,-8.5,5.2,-28.6,-28.6
Net Income AUD Mil,-1.0,-0.0,2.0,8.0,-3.0,67.0,-6.0,-4.0,5.0,-29.0,-29.0
Earnings Per Share AUD,-0.01,,0.01,0.03,-0.01,0.19,-0.02,-0.01,0.01,-0.06,-0.06
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,203.0,247.0,248.0,251.0,269.0,346.0,373.0,414.0,421.0,503.0,503.0
Book Value Per Share * AUD,,,,,,,0.43,0.43,0.37,0.33,0.33
Operating Cash Flow AUD Mil,-0.0,-0.0,-0.0,-1.0,-1.0,2.0,-4.0,29.0,37.0,55.0,55.0
Cap Spending AUD Mil,-4.0,-8.0,-9.0,-9.0,-14.0,-35.0,-99.0,-37.0,-43.0,-44.0,-44.0
Free Cash Flow AUD Mil,-4.0,-9.0,-9.0,-10.0,-14.0,-33.0,-103.0,-8.0,-5.0,11.0,11.0
Free Cash Flow Per Share * AUD,,,,,,,-0.08,-0.09,-0.02,-0.03,
Working Capital AUD Mil,6.0,8.0,10.0,4.0,8.0,170.0,26.0,17.0,28.0,35.0,
