Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.65,36.79,-61.75,79.19,9.96,7.27,-25.09,-32.58,,,-40.09
3-Year Average,37.85,37.41,-18.72,-2.13,-9.0,28.33,-4.04,-18.48,,,
5-Year Average,26.06,40.97,6.51,12.2,1.14,2.03,-9.54,1.31,,,
10-Year Average,37.15,,15.97,8.34,10.24,13.41,12.92,3.88,,,
