Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,23.59,6.2,13.54,12.43,-25.77,44.95,55.84,-38.27,-55.29,171.21,6.09
3-Year Average,15.03,10.41,14.22,10.68,-1.78,6.55,18.8,11.72,-24.51,-9.2,
5-Year Average,17.17,15.46,12.91,11.43,4.46,7.84,16.44,3.08,-14.28,11.08,
10-Year Average,12.98,14.06,13.46,14.54,10.15,12.41,15.95,7.88,-2.27,7.72,
