Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,1.09,61.77,-3.18,22.37,42.24,57.23,11.55,4.5,40.28,12.56,
Free Cash Flow Growth % YOY,-2.25,95.09,-11.32,-3.25,-28.59,216.12,4.31,0.08,44.26,25.82,
Cap Ex as a % of Sales,2.97,2.99,3.54,3.69,5.1,4.61,5.4,5.26,5.62,5.24,5.24
Free Cash Flow/Sales %,5.52,10.87,9.03,4.86,2.03,6.2,6.24,5.56,6.29,7.55,7.55
Free Cash Flow/Net Income,1.92,1.38,1.2,1.86,0.75,0.81,1.29,1.22,-2.25,1.58,1.58
