Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,4.82,-1.69,-0.66,-0.07,0.73,44.44,0.75
3-Year Average,,,,,,,0.78,-0.81,,13.29,
5-Year Average,,,,,,,,,0.6,7.26,
10-Year Average,,,,,,,,,,,
