Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,70.8,75.08,-5.81,4.64,10.3,-0.86,-0.29,9.59,-4.51,16.53,13.3
3-Year Average,254.86,77.92,41.22,19.95,2.83,4.59,2.92,2.7,1.43,6.84,
5-Year Average,35.81,,136.31,40.89,26.59,13.54,1.45,4.57,2.67,3.81,
10-Year Average,,,,12.4,27.75,24.18,,57.2,20.27,14.63,
