Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,30.86,2.83,11.01,38.02,17.37,15.31,5.31,-7.14,-6.33,6.76,20.93
3-Year Average,24.45,19.42,14.31,16.36,21.6,23.15,12.53,4.08,-2.88,-2.44,
5-Year Average,19.78,16.87,17.08,21.15,19.33,16.35,16.9,12.8,4.39,2.43,
10-Year Average,22.88,17.49,1.43,14.27,17.52,18.05,16.89,14.92,12.46,10.56,
