Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,29.12,26.98,-57.49,55.4,49.47,-32.09,28.38,-89.56,,,
3-Year Average,28.11,9.1,-11.34,-5.69,-0.42,16.41,9.23,-55.02,,,
5-Year Average,40.42,35.04,2.57,-3.02,10.12,-3.16,-2.95,-26.72,,,
10-Year Average,,34.16,20.6,11.18,19.36,16.61,14.48,-13.3,,,
