Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,23.75,31.76,12.27,-4.35,5.81,12.81,237.42,45.38,-20.55,-13.34
3-Year Average,50.76,34.09,,22.33,12.26,4.35,4.52,59.11,76.88,57.37,
5-Year Average,92.92,,41.07,28.95,,13.13,11.05,34.03,41.14,36.0,
10-Year Average,,,,,,47.73,,37.51,34.91,,
