Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,528.81,-47.36,-62.35,411.77,-1.58,
3-Year Average,,,,,,,,7.62,0.48,23.78,
5-Year Average,,,,,,,,,,44.4,
10-Year Average,,,,,,,,,,,
