Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,10.94,-36.51,5.24,12.97,2.66,-4.62,56.4,-10.61,20.36,-9.98,
Free Cash Flow Growth % YOY,-12.29,,,65.95,,,,16.58,41.7,-59.57,
Cap Ex as a % of Sales,8.33,10.35,12.01,8.59,10.07,10.58,10.94,8.09,9.03,11.54,10.32
Free Cash Flow/Sales %,5.18,-1.64,4.97,6.49,-0.33,-1.67,2.94,3.09,4.35,1.97,4.25
Free Cash Flow/Net Income,0.64,-0.24,3.6,1.46,-0.05,-0.26,0.43,0.43,0.52,0.64,0.56
