Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-26.75,-87.04,514.71,-5.79,-22.11,-47.25,-46.19,-3.83,,,
3-Year Average,,,-16.44,-9.13,65.23,-27.12,-39.53,-35.13,,,
5-Year Average,,-26.65,,,-15.61,-20.97,5.07,-27.5,,,
10-Year Average,60.74,46.99,27.07,26.5,,,-12.21,,,,
