Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.64,18.68,-2.64,9.61,-3.73,,,7.47,17.05,-0.34,
3-Year Average,19.08,18.95,8.86,8.19,0.9,,-3.51,0.09,,7.83,
5-Year Average,17.71,19.62,14.3,12.43,6.36,,-0.84,1.14,2.47,3.19,
10-Year Average,20.69,21.05,10.53,11.28,10.36,,8.91,7.52,7.33,4.76,
