Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,13.79,-3.5,7.41,20.42,-7.84,13.96,8.13,5.77,49.27,-35.49,18.9
3-Year Average,17.9,5.49,5.65,7.67,6.03,8.14,4.33,9.23,19.51,0.61,
5-Year Average,12.63,10.18,11.18,8.72,5.53,5.56,8.0,7.66,12.39,4.65,
10-Year Average,8.36,7.46,7.39,8.62,8.36,9.04,9.08,9.41,10.54,5.09,
