Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,65.36,65.79,65.14,64.86,65.44,65.7,65.41,65.21,65.18,65.45,65.73
Gross Margin,34.64,34.21,34.86,35.14,34.56,34.3,34.59,34.79,34.82,34.55,34.27
SG&A,22.07,23.17,24.86,24.59,25.08,24.24,24.08,23.61,23.88,23.27,22.35
R&D,,,,,,,,,,,
Other,2.83,3.19,3.42,3.25,2.95,3.01,2.74,2.66,2.53,2.29,2.11
Operating Margin,9.74,7.85,6.59,7.29,6.53,7.05,7.77,8.52,8.41,8.99,9.81
Net Int Inc & Other,-0.4,-0.58,-0.61,-0.68,-0.74,-0.84,-0.89,-0.92,-0.93,-0.99,-1.6
EBT Margin,9.34,7.27,5.98,6.61,5.79,6.21,6.88,7.61,7.48,8.0,8.21
