Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,35.14,22.11,35.3,56.09,39.85,48.54,39.39,33.9,28.78
Net Margin %,,,37.9,57.64,47.5,16.78,25.55,25.05,32.79,39.37,39.08
Asset Turnover (Average),,,0.06,0.11,0.08,0.05,0.04,0.04,0.04,0.05,0.04
Return on Assets %,,,2.26,6.06,4.03,0.77,0.95,1.09,1.44,1.9,1.67
Financial Leverage (Average),,,10.31,7.05,7.82,9.16,9.86,9.58,8.45,8.49,8.94
Return on Equity %,,,23.35,49.02,30.05,6.52,9.04,10.59,12.87,16.13,14.74
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
