Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.51,24.37,12.09,15.08,13.37,10.03,3.97,-20.35,12.77,-7.75,-2.01
3-Year Average,13.35,22.4,17.89,17.07,13.51,12.81,9.05,-3.05,-2.25,-6.07,
5-Year Average,28.37,15.63,15.22,18.79,16.41,14.89,10.84,3.52,3.1,-1.06,
10-Year Average,9.1,10.52,9.28,10.0,11.62,21.44,13.21,9.21,10.67,7.32,
