Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,202.0,122.0,,,,
Free Cash Flow Growth % YOY,,,,,,-10.0,348.0,,,,
Cap Ex as a % of Sales,5.67,5.12,3.54,2.8,3.78,3.98,3.72,4.0,4.08,4.87,7.56
Free Cash Flow/Sales %,-3.42,11.25,8.13,4.94,9.54,9.35,9.45,5.84,8.65,5.76,1.08
Free Cash Flow/Net Income,-4.44,1.93,1.71,0.73,1.33,6.27,1.2,1.12,1.04,1.02,0.19
