Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,24.15,23.46,,
Net Margin %,,,,,,,,12.27,12.59,-100.1,-65.62
Asset Turnover (Average),,,,,,,,,0.04,0.01,0.02
Return on Assets %,,,,,,,,,0.49,-1.35,-1.3
Financial Leverage (Average),,,,,,,,,13.46,14.93,16.22
Return on Equity %,,,,,,,,,6.65,-19.06,-21.02
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
