Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,48.39,55.55,19.38,-2.67,49.01,-8.8,-43.37,
3-Year Average,,,6.35,,,40.2,21.81,20.08,9.77,-8.36,
5-Year Average,,,-6.12,9.6,20.38,,,31.93,19.69,-2.21,
10-Year Average,,,6.73,7.77,28.18,8.73,8.0,9.96,14.18,9.29,
