Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,25.5,24.1,24.1,23.86,24.03,24.87,25.48,31.14,31.71,31.27,30.95
Gross Margin,74.5,75.9,75.9,76.14,75.97,75.13,74.52,68.86,68.29,68.73,69.05
SG&A,34.83,40.18,34.24,34.99,34.74,34.35,34.38,34.08,32.84,32.69,33.03
R&D,9.43,9.28,9.23,9.49,9.21,9.39,8.69,8.09,7.71,7.38,7.38
Other,8.89,9.73,7.34,8.03,5.49,4.86,9.03,8.1,9.39,10.72,8.17
Operating Margin,21.35,16.71,25.09,23.63,26.53,26.53,22.42,18.59,18.35,17.94,20.47
Net Int Inc & Other,,,,,-0.92,-0.91,-0.64,-1.38,-3.31,-2.45,-2.51
EBT Margin,21.35,16.71,25.09,23.63,25.61,25.62,21.79,17.21,15.04,15.49,17.97
