Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,8.63,5.85,6.09,11.89,6.25,-9.67,7.49,2.02,8.08,6.3,-1.39
3-Year Average,4.53,5.95,6.85,7.91,8.04,2.41,1.04,-0.32,5.83,5.43,
5-Year Average,,,5.11,7.14,7.72,3.82,4.14,3.32,2.61,2.62,
10-Year Average,,,,,,,,4.21,4.85,5.14,
