Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,82.17,84.07,85.84,80.66,80.18,79.58,79.06,78.85,78.77,78.69,78.3
Gross Margin,17.83,15.93,14.16,19.34,19.82,20.42,20.94,21.15,21.23,21.31,21.7
SG&A,9.98,10.31,11.61,10.02,8.73,8.76,8.68,8.45,8.57,9.01,9.25
R&D,,,,,,,,,,,
Other,-0.13,5.48,1.27,0.4,-0.11,1.18,0.76,1.09,0.94,9.81,8.12
Operating Margin,7.97,0.14,1.28,8.92,11.21,10.48,11.5,11.6,11.71,2.49,4.33
Net Int Inc & Other,0.11,0.13,-0.83,-0.47,-0.44,0.11,0.19,0.2,-0.16,-0.39,-0.18
EBT Margin,8.08,0.27,0.45,8.45,10.77,10.59,11.69,11.8,11.55,2.1,4.14
