Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,56.35,35.34,-9.92,-5.51,52.45,-16.3,27.4,34.34,4.63,9.53,
Free Cash Flow Growth % YOY,743.75,75.56,8.02,-10.55,50.66,-26.67,28.06,61.11,-0.96,6.38,
Cap Ex as a % of Sales,2.72,2.79,1.83,1.92,2.7,2.64,3.17,2.66,3.08,3.43,3.6
Free Cash Flow/Sales %,2.48,4.53,5.27,4.54,6.14,4.09,4.98,7.3,6.98,7.08,7.26
Free Cash Flow/Net Income,3.0,-2.96,5.33,1.36,1.24,0.64,0.76,1.0,0.96,0.83,1.07
