Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,30.96,26.36,-15.41,35.93,20.43,12.67,18.4,4.72,10.52,3.76,
Free Cash Flow Growth % YOY,36.16,28.91,-15.52,37.86,19.1,14.0,18.86,5.63,11.18,3.49,
Cap Ex as a % of Sales,1.43,1.3,1.26,1.2,1.46,1.28,1.31,1.06,1.01,1.06,1.27
Free Cash Flow/Sales %,14.92,17.53,16.67,19.74,20.05,21.36,23.47,22.62,24.92,24.37,24.6
Free Cash Flow/Net Income,1.25,1.43,1.43,1.46,1.31,1.32,1.41,1.24,1.28,1.4,1.52
