Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,22.55,8.8,-5.15,85.27,-18.41,-8.21,22.35,7.31,-12.77,13.17,6.56
3-Year Average,12.84,10.79,8.14,24.12,12.76,11.54,-2.87,6.42,4.62,1.94,
5-Year Average,28.27,9.86,8.2,19.04,13.84,7.45,10.0,12.74,-3.02,3.54,
10-Year Average,12.21,15.04,-3.8,37.35,,17.4,9.93,10.45,7.44,8.56,
