Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,553.0,,,-828.0,,,
Free Cash Flow Growth % YOY,,,,,-646.0,,,,,,
Cap Ex as a % of Sales,10.36,15.22,10.55,7.44,9.93,19.4,25.27,36.07,43.49,18.97,9.68
Free Cash Flow/Sales %,26.39,3.72,18.68,25.61,21.78,1.55,4.08,-7.92,-21.45,6.18,16.7
Free Cash Flow/Net Income,1.5,-0.06,1.02,1.12,1.0,0.09,0.32,1.25,0.26,-0.21,3.0
