Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,797.0,,431.0,,-622.0,,745.0,823.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,34.7,44.23,33.39,31.68,36.68,34.54,36.3,31.75,36.72,39.7,40.35
Free Cash Flow/Sales %,-13.31,-20.6,-8.97,-1.35,-6.36,-1.05,-5.17,4.69,0.6,-1.06,-0.9
Free Cash Flow/Net Income,0.86,0.86,0.94,-0.13,-0.55,-0.08,-0.4,0.33,0.04,-0.07,-0.06
