Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.9,16.04,-61.96,131.43,18.34,-21.61,49.62,-37.74,29.39,60.41,
3-Year Average,19.72,18.15,-20.95,0.72,1.38,29.01,11.55,-9.95,6.42,8.92,
5-Year Average,19.41,18.86,-5.41,7.75,6.23,-1.07,4.09,14.87,2.26,8.67,
10-Year Average,,,,,,8.69,11.23,4.24,4.97,7.44,
