Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,10.97,15.59,-13.11,10.33,11.58,0.85,12.93,-2.25,-13.77,-38.67,
Free Cash Flow Growth % YOY,8.52,18.39,-8.45,11.35,11.23,-33.76,37.18,-1.24,-15.8,-57.68,
Cap Ex as a % of Sales,2.11,2.03,1.58,1.65,1.76,5.08,4.26,3.98,3.72,3.65,3.82
Free Cash Flow/Sales %,7.63,8.28,8.64,9.64,10.06,6.44,9.0,8.69,7.55,3.13,4.53
Free Cash Flow/Net Income,0.99,1.05,1.18,1.15,1.13,0.72,0.89,0.81,0.56,0.35,0.52
