Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,29.71,35.82,35.74,10.35,21.58,20.96,73.06,55.98,35.73
Net Margin %,,-29.76,6.89,-0.5,6.34,3.16,8.48,6.32,1.58,4.23,9.23
Asset Turnover (Average),,,0.26,0.29,0.28,0.2,0.2,0.2,0.17,0.16,0.17
Return on Assets %,,,1.79,-0.15,1.76,0.64,1.66,1.3,0.27,0.67,1.53
Financial Leverage (Average),,,6.61,8.41,9.25,4.92,5.74,2.44,2.39,2.33,2.28
Return on Equity %,,,11.87,-1.09,15.5,3.67,8.85,4.35,0.66,1.59,3.56
Return on Invested Capital %,,,2.72,3.22,6.04,4.97,2.44,1.62,0.29,0.72,1.66
Interest Coverage,,-3.29,,1.7,2.44,1.94,,,,,
