Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,23.41,18.18,16.77,25.86,23.0,15.91,17.0
Net Margin %,,,,,13.88,12.79,16.4,9.66,2.83,13.09,13.71
Asset Turnover (Average),,,,,3.1,3.23,3.97,1.76,1.12,1.57,1.79
Return on Assets %,,,,,42.99,41.32,65.14,16.98,3.18,20.48,24.5
Financial Leverage (Average),,,,,40.3,18.19,23.8,1.4,1.68,1.67,1.52
Return on Equity %,,,,,,976.17,,28.46,4.91,34.31,38.03
Return on Invested Capital %,,,,,,927.0,,30.04,5.21,34.62,38.1
Interest Coverage,,,,,24.19,132.83,194.93,21.06,14.48,39.86,222.88
