Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,27.08,,,-2.89,24.4,
3-Year Average,,,,,,,,19.57,9.32,,
5-Year Average,,,,,,,,,,15.61,
10-Year Average,,,,,,,,,,,
