Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,19.69,12.21,48.59,13.04,14.37
Net Margin %,,,,25.48,107.53,16.35,18.07,26.49,10.99,26.07,29.26
Asset Turnover (Average),,,,0.1,0.08,0.07,0.09,0.09,0.11,0.1,0.11
Return on Assets %,,,,2.75,9.1,1.18,1.56,2.42,1.16,2.68,3.29
Financial Leverage (Average),,,,1.32,1.2,1.35,1.5,1.73,1.09,1.35,1.2
Return on Equity %,,,,3.74,11.24,1.5,2.22,3.91,1.64,3.28,3.82
Return on Invested Capital %,,,,3.74,11.24,1.5,2.22,3.91,1.64,3.28,3.82
Interest Coverage,,,,,,,,,,,
