Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,34.53,31.55,37.2,18.37,20.03,-4.8,16.09
3-Year Average,,,,,,,34.41,28.79,24.92,10.59,
5-Year Average,,,,,,,,,28.1,19.54,
10-Year Average,,,,,,,,,,,
