Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,75.3,75.24,74.54,86.65,78.76,70.93,66.56,59.7,63.75,70.51,70.51
Days Inventory,,,,,,,,,,,
Payables Period,,,,,,,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,4.85,4.85,4.9,4.21,4.63,5.15,5.48,6.11,5.73,5.18,5.18
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,12.11,13.01,12.31,13.09,9.83,7.82,8.86,11.39,14.45,17.0,17.0
Asset Turnover,0.69,0.74,0.81,0.78,0.81,0.81,0.81,0.82,0.78,0.9,0.9
