Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,33.95,-4.66,2.51,-1.79,-20.25,-2.76,-2.2,-3.43,5.45,3.22,-1.46
3-Year Average,24.41,14.28,9.4,-1.36,-7.06,-8.68,-8.8,-2.8,-0.14,1.68,
5-Year Average,21.35,19.21,13.48,8.48,0.5,-5.73,-5.25,-6.38,-5.03,-0.01,
10-Year Average,20.9,14.41,13.7,13.34,8.72,6.96,6.28,3.07,1.5,0.25,
