Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-15.33,,,,,7.94,-24.53,51.05,-22.33,51.57,
3-Year Average,6.74,,,,,,,7.16,-3.98,21.15,
5-Year Average,14.01,,,,-11.1,-6.68,,,,7.69,
10-Year Average,14.97,,,,1.36,3.15,-2.44,-0.19,-4.3,-2.15,
