Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-32.3,-20.33,-8.09,-77.85,582.88,19.76,25.46,23.97,0.43,2.52,
3-Year Average,7.52,-12.92,-20.86,-45.46,11.62,21.91,117.3,23.04,16.03,8.47,
5-Year Average,12.05,1.92,-1.86,-33.06,-5.59,5.82,15.88,23.02,66.44,13.91,
10-Year Average,6.89,3.49,-3.75,-13.05,8.44,8.89,8.67,9.88,5.56,3.7,
