Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.89,8.02,2.24,15.12,13.33,4.8,6.94,8.48,2.49,8.86,10.33
3-Year Average,13.4,11.32,8.26,8.33,10.08,10.99,8.3,6.73,5.94,6.57,
5-Year Average,15.95,13.78,10.0,10.18,10.61,8.59,8.38,9.67,7.15,6.29,
10-Year Average,14.58,12.78,11.08,12.19,12.8,12.21,11.04,9.83,8.65,8.43,
