Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,5.45,-9.2,6.96,10.06,24.19,9.52,3.56,8.78,-4.91,15.71
3-Year Average,,8.83,2.2,0.8,2.25,13.5,14.4,12.1,7.25,2.32,
5-Year Average,,17.71,7.51,4.59,4.68,6.96,7.77,10.64,11.02,7.82,
10-Year Average,,24.79,12.42,49.65,20.42,,12.63,9.07,7.76,6.24,
