Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-0.57,-14.88,11.46,11.8,12.75,-12.42,-7.83,-3.04,-8.05,-23.82,-14.62
3-Year Average,13.42,2.74,-1.93,1.98,12.0,3.35,-3.09,-7.84,-6.34,-12.1,
5-Year Average,10.6,8.46,6.72,6.21,3.52,0.93,2.55,-0.27,-4.09,-11.33,
10-Year Average,21.45,16.36,14.34,11.38,9.77,5.65,5.46,3.17,0.93,-4.19,
