Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-4.96,-91.41,,7.48,-94.35,288.46,390.1,-37.17,-16.72,71.43,3.94
3-Year Average,30.7,-45.29,7.66,12.16,-2.44,-38.2,2.47,128.7,36.88,-3.56,
5-Year Average,48.59,-22.4,24.0,21.89,-40.31,-20.89,77.62,-6.19,-10.85,76.39,
10-Year Average,14.66,-1.78,42.38,39.91,-8.4,8.42,17.4,7.86,4.24,2.61,
