Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,77.71,,,,129.55,-3.19,-21.78,43.32,-2.63,171.34,
3-Year Average,99.57,,,-31.79,,,20.23,2.76,2.96,55.86,
5-Year Average,54.44,,,-3.51,5.3,-6.75,,,19.39,23.45,
10-Year Average,,,,9.74,12.63,20.01,19.45,20.18,7.33,14.01,
