Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,58.7,4.41,12.79,8.48,37.47,10.16,10.48,7.92,12.27,-16.31,-30.61
3-Year Average,31.85,29.05,23.18,8.51,18.92,17.99,18.71,9.52,10.21,0.46,
5-Year Average,22.27,20.72,21.97,21.33,22.75,14.11,15.41,14.39,15.18,4.3,
10-Year Average,22.56,20.3,17.8,14.3,17.9,18.12,18.03,18.12,18.22,13.15,
