Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Earnings Per Share AUD,,,,,,,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,294.0,295.0,296.0,299.0,301.0,301.0,301.0,303.0,305.0,307.0,307.0
Book Value Per Share * AUD,,,,,,,,,,,
Operating Cash Flow AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Cap Spending AUD Mil,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow Per Share * AUD,,,,,,,,,,,
Working Capital AUD Mil,1.0,1.0,0.0,0.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,
