Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,-38.88,-53.5,-56.8,-61.79,-36.22,,,,,
3-Year Average,,,1515.3,-50.3,-57.5,-52.78,,,,,
5-Year Average,,,,,270.25,-50.43,,,,,
10-Year Average,,,,,,,,,,,
