Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-12.05,,,14.44,24.18,12.44,18.49,11.68,5.71,-2.73,
3-Year Average,-13.7,,-14.51,-6.67,,16.91,18.27,14.16,11.84,4.72,
5-Year Average,-6.09,,-14.51,-14.52,-2.35,2.57,,16.16,14.33,8.88,
10-Year Average,-4.46,,-3.51,-3.69,1.94,-1.86,-2.42,-0.35,-1.14,3.11,
