Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,51.52,-19.72,-22.75,130.38,56.94,-36.4,-70.58,-89.27,1968.19,96.1,2.39
3-Year Average,15.87,16.79,-2.05,12.63,40.83,31.99,-33.53,-72.82,-13.26,63.25,
5-Year Average,,7.75,-0.71,23.17,27.71,7.36,-12.17,-40.82,-8.21,-4.03,
10-Year Average,,,,,,,-2.72,-23.35,6.33,10.71,
