Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,10.5,-4.54,11.75,-2.37,-2.64,-11.52,-6.14,-26.28,38.27,20.31,
3-Year Average,4.78,7.28,5.63,1.36,2.03,-5.61,-6.84,-15.08,-1.46,7.04,
5-Year Average,7.28,3.08,4.18,6.14,2.3,-2.15,-2.48,-10.26,-3.79,0.37,
10-Year Average,14.06,11.29,10.23,6.8,5.13,2.46,0.26,-3.31,1.05,1.33,
