Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,21.17,-3.86,7.27,-39.3,37.84,17.64,9.99,-4.56,-19.72,63.98,
Free Cash Flow Growth % YOY,31.89,2.6,23.96,-64.86,95.24,15.27,29.79,-21.59,-47.47,157.57,
Cap Ex as a % of Sales,4.83,4.24,3.13,4.79,3.92,4.63,3.47,4.98,5.74,5.13,4.54
Free Cash Flow/Sales %,8.99,9.63,12.7,4.15,7.53,8.39,11.03,8.3,3.97,9.22,10.65
Free Cash Flow/Net Income,1.06,1.61,2.09,0.64,1.04,1.13,1.23,0.84,0.27,1.02,1.08
