Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,5.98,-0.51,4.81,7.06,2.25,2.53,-1.29,-0.04,0.95,-2.7,0.12
3-Year Average,12.08,6.94,3.39,3.74,4.69,3.92,1.15,0.39,-0.13,-0.61,
5-Year Average,12.55,9.77,7.98,6.53,3.88,3.2,3.03,2.06,0.87,-0.13,
10-Year Average,18.33,16.1,14.19,11.57,9.64,7.77,6.35,4.98,3.66,1.86,
