Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,28.75,20.69,17.02,38.21,11.63,20.45,27.55,1.43,20.46,17.25,4.41
3-Year Average,29.11,25.81,22.05,24.97,21.76,22.94,19.7,15.94,15.94,12.73,
5-Year Average,23.34,23.31,24.9,26.35,22.91,21.28,22.63,19.18,15.95,17.09,
10-Year Average,36.06,30.28,24.53,26.32,25.57,22.31,22.97,22.0,21.04,19.97,
