Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,14.17,4.28,55.27,32.95,18.83,0.86,9.87,24.69,3.94,4.04,
Free Cash Flow Growth % YOY,8.21,14.38,58.74,26.51,22.2,1.67,11.24,17.33,4.19,8.44,
Cap Ex as a % of Sales,4.29,1.89,1.43,3.14,2.19,1.79,1.31,3.49,3.42,2.04,2.04
Free Cash Flow/Sales %,25.5,29.03,34.13,33.06,33.79,31.94,30.38,32.16,32.24,33.38,33.38
Free Cash Flow/Net Income,2.23,2.07,1.99,1.58,1.69,1.71,1.69,1.69,1.76,1.66,1.66
